epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6894,1.11846,2.63069,1.30053,0.67771,0.68598,0.74071,0.527,1.29151,1.57387,1.48479,0.000275942,0.000275942,0.000275942
2,84.1907,1.19533,1.49868,1.32748,0.72832,0.48537,0.6096,0.38756,1.43077,2.27361,1.6391,0.00053534,0.00053534,0.00053534
3,125.408,1.24395,1.46788,1.37982,0.72926,0.68413,0.74225,0.51937,1.3904,1.41827,1.52968,0.000776411,0.000776411,0.000776411
4,173.619,1.2298,1.41501,1.36726,0.75566,0.6996,0.76282,0.54605,1.29819,1.43352,1.45447,0.000750533,0.000750533,0.000750533
5,227.577,1.21211,1.32566,1.35421,0.73142,0.76846,0.81953,0.57519,1.3061,1.23581,1.47329,0.000723044,0.000723044,0.000723044
6,271.303,1.15265,1.18765,1.31499,0.85235,0.77482,0.84613,0.60636,1.25969,1.16179,1.41355,0.000695555,0.000695555,0.000695555
7,313.348,1.12549,1.14131,1.30324,0.84426,0.69051,0.8579,0.63192,1.18303,1.1387,1.3666,0.000668066,0.000668066,0.000668066
8,354.448,1.09454,1.0772,1.27922,0.82176,0.80379,0.8728,0.66015,1.18951,0.99777,1.34512,0.000640577,0.000640577,0.000640577
9,395.126,1.08184,1.05809,1.27147,0.76211,0.85789,0.87261,0.65233,1.19961,0.97072,1.35419,0.000613088,0.000613088,0.000613088
10,435.776,1.05407,0.98238,1.24341,0.86083,0.85432,0.90047,0.66591,1.12448,0.89528,1.28122,0.000585599,0.000585599,0.000585599
11,476.915,1.02018,0.96152,1.23085,0.8581,0.81976,0.89075,0.66774,1.15634,0.91493,1.34011,0.00055811,0.00055811,0.00055811
12,517.581,1.01826,0.93134,1.2228,0.86111,0.85679,0.90244,0.67495,1.11298,0.85738,1.26852,0.000530621,0.000530621,0.000530621
13,558.348,0.98127,0.89499,1.20768,0.8429,0.83894,0.9101,0.68904,1.07219,0.86792,1.23888,0.000503132,0.000503132,0.000503132
14,599.346,0.968,0.87249,1.19568,0.84968,0.8294,0.89573,0.68434,1.10604,0.88092,1.26251,0.000475643,0.000475643,0.000475643
15,640.106,0.96709,0.83866,1.17582,0.88281,0.87666,0.92398,0.70794,1.03984,0.79159,1.22121,0.000448154,0.000448154,0.000448154
16,680.854,0.93556,0.80263,1.16509,0.89271,0.86083,0.92922,0.72668,1.03173,0.75175,1.20658,0.000420665,0.000420665,0.000420665
17,721.518,0.93075,0.78919,1.16274,0.8588,0.89258,0.92919,0.70968,1.02829,0.7488,1.19993,0.000393176,0.000393176,0.000393176
18,761.944,0.91711,0.77519,1.15737,0.89292,0.85096,0.92241,0.72167,1.0189,0.77039,1.21436,0.000365687,0.000365687,0.000365687
19,802.447,0.90553,0.75842,1.1523,0.87068,0.89584,0.93342,0.72448,1.00649,0.73002,1.21729,0.000338198,0.000338198,0.000338198
20,843.325,0.88143,0.73768,1.1395,0.88853,0.88725,0.94302,0.73899,1.00889,0.70982,1.21563,0.000310709,0.000310709,0.000310709
21,901.153,0.89316,0.65445,1.12534,0.92199,0.85936,0.9291,0.72592,0.98368,0.69941,1.19845,0.00028322,0.00028322,0.00028322
22,941.892,0.85669,0.61412,1.09923,0.88918,0.89352,0.93704,0.74213,0.97016,0.68784,1.17529,0.000255731,0.000255731,0.000255731
23,982.929,0.84862,0.59062,1.09873,0.83783,0.91599,0.9426,0.74344,0.93871,0.63848,1.16945,0.000228242,0.000228242,0.000228242
24,1022.22,0.82454,0.57156,1.07853,0.90174,0.90636,0.94454,0.75111,0.96124,0.66799,1.16663,0.000200753,0.000200753,0.000200753
25,1061.01,0.80436,0.55163,1.06988,0.91345,0.90294,0.95246,0.75567,0.96846,0.64086,1.17137,0.000173264,0.000173264,0.000173264
26,1100.03,0.7854,0.5358,1.05106,0.92783,0.91876,0.95899,0.76866,0.91656,0.59255,1.13746,0.000145775,0.000145775,0.000145775
27,1139.06,0.77077,0.51313,1.04266,0.90516,0.91449,0.95547,0.76569,0.90498,0.59131,1.12529,0.000118286,0.000118286,0.000118286
28,1178.02,0.74832,0.48869,1.03206,0.93233,0.87493,0.95582,0.7609,0.91396,0.61361,1.11752,9.0797e-05,9.0797e-05,9.0797e-05
29,1216.97,0.73362,0.48377,1.0245,0.92616,0.90211,0.96084,0.77259,0.89102,0.5954,1.11315,6.3308e-05,6.3308e-05,6.3308e-05
30,1255.98,0.72151,0.46542,1.01608,0.93115,0.90517,0.9606,0.77054,0.88449,0.58513,1.11025,3.5819e-05,3.5819e-05,3.5819e-05
