epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.295,1.10435,1.82909,1.33607,0.75282,0.78465,0.76259,0.53503,1.0882,0.91691,1.31253,0.00332791,0.00332791,0.00332791
2,322.88,1.09091,1.07563,1.30075,0.78378,0.63713,0.70524,0.4559,1.30379,1.19184,1.47491,0.00652935,0.00652935,0.00652935
3,478.287,1.1856,1.17481,1.35887,0.6761,0.49638,0.54789,0.34351,1.57542,1.90399,1.78949,0.00959879,0.00959879,0.00959879
4,633.112,1.26167,1.27082,1.41207,0.78926,0.69158,0.73735,0.49373,1.27284,1.05201,1.42806,0.009406,0.009406,0.009406
5,788.122,1.21638,1.17139,1.37913,0.81649,0.73187,0.77649,0.52859,1.20615,0.96098,1.39609,0.009208,0.009208,0.009208
6,942.145,1.17302,1.0964,1.34516,0.79912,0.75722,0.80576,0.53902,1.15029,0.91041,1.34075,0.00901,0.00901,0.00901
7,1095.84,1.13889,1.03876,1.31942,0.87238,0.74669,0.80796,0.56999,1.13654,0.82791,1.3578,0.008812,0.008812,0.008812
8,1250.16,1.10758,0.99189,1.30126,0.82064,0.73533,0.80594,0.5775,1.13298,0.80748,1.33029,0.008614,0.008614,0.008614
9,1404.07,1.08816,0.95173,1.28879,0.84401,0.80031,0.80649,0.57972,1.07342,0.80109,1.28375,0.008416,0.008416,0.008416
10,1557.76,1.0658,0.92714,1.27566,0.84542,0.80266,0.8371,0.61642,1.05973,0.75441,1.25978,0.008218,0.008218,0.008218
11,1710.88,1.04121,0.88684,1.26184,0.87546,0.78831,0.853,0.60623,1.07757,0.75113,1.2608,0.00802,0.00802,0.00802
12,1863.67,1.0314,0.87097,1.25174,0.88831,0.79628,0.83607,0.62753,1.02986,0.70195,1.24647,0.007822,0.007822,0.007822
13,2017.05,1.0141,0.85265,1.2442,0.89022,0.80121,0.86076,0.63887,0.99659,0.69293,1.22483,0.007624,0.007624,0.007624
14,2170.29,0.99619,0.83006,1.23125,0.86968,0.8157,0.84725,0.63227,0.98877,0.70049,1.22479,0.007426,0.007426,0.007426
15,2323.35,0.98781,0.81457,1.22243,0.87799,0.81668,0.8562,0.63352,0.97441,0.65917,1.19878,0.007228,0.007228,0.007228
16,2476.61,0.97167,0.79034,1.21192,0.8844,0.82154,0.87131,0.65664,0.95218,0.61894,1.18737,0.00703,0.00703,0.00703
17,2629.93,0.96201,0.77494,1.20931,0.90568,0.79921,0.87479,0.66038,0.92196,0.60012,1.17094,0.006832,0.006832,0.006832
18,2783.71,0.95314,0.76589,1.20017,0.88963,0.83716,0.8656,0.66082,0.93931,0.60053,1.17372,0.006634,0.006634,0.006634
19,2937.07,0.93584,0.74716,1.19252,0.89644,0.82741,0.88387,0.68011,0.92618,0.58385,1.17456,0.006436,0.006436,0.006436
20,3090.35,0.9288,0.73944,1.18764,0.90948,0.82534,0.87934,0.67605,0.89109,0.56181,1.13585,0.006238,0.006238,0.006238
21,3243.76,0.91298,0.71698,1.17599,0.90519,0.83026,0.88033,0.66951,0.88592,0.55169,1.14939,0.00604,0.00604,0.00604
22,3397.17,0.90503,0.70476,1.17497,0.91106,0.83558,0.89292,0.69218,0.91484,0.55171,1.14586,0.005842,0.005842,0.005842
23,3550.5,0.89358,0.69738,1.16293,0.91442,0.83212,0.87682,0.6823,0.87912,0.53577,1.12936,0.005644,0.005644,0.005644
24,3703.67,0.88968,0.69091,1.15803,0.89875,0.84836,0.90115,0.70637,0.86261,0.52983,1.12204,0.005446,0.005446,0.005446
25,3856.93,0.87216,0.66801,1.14946,0.91225,0.83733,0.89978,0.70715,0.84242,0.52209,1.11202,0.005248,0.005248,0.005248
26,4010.22,0.86878,0.65999,1.14868,0.90369,0.83924,0.88548,0.69713,0.85711,0.52402,1.10942,0.00505,0.00505,0.00505
27,4163.77,0.85658,0.65084,1.14268,0.90752,0.84747,0.89863,0.70509,0.83917,0.51121,1.09577,0.004852,0.004852,0.004852
28,4317.59,0.84379,0.63952,1.13662,0.91604,0.8411,0.8962,0.70925,0.81717,0.50179,1.08153,0.004654,0.004654,0.004654
29,4471.2,0.84007,0.63562,1.13198,0.90943,0.85821,0.90128,0.71055,0.82802,0.49752,1.08828,0.004456,0.004456,0.004456
30,4624.43,0.83431,0.62937,1.13469,0.9253,0.84857,0.88991,0.71499,0.80077,0.48651,1.07364,0.004258,0.004258,0.004258
31,4778.6,0.82362,0.61054,1.1172,0.91568,0.84815,0.89151,0.7157,0.78941,0.47422,1.0656,0.00406,0.00406,0.00406
32,4932.33,0.8195,0.60762,1.12212,0.92026,0.85387,0.89301,0.71796,0.79883,0.47552,1.07358,0.003862,0.003862,0.003862
33,5086.37,0.80738,0.59348,1.11221,0.92606,0.85236,0.90186,0.73961,0.78245,0.46583,1.06276,0.003664,0.003664,0.003664
34,5239.55,0.78707,0.58618,1.10754,0.92319,0.86058,0.90389,0.72996,0.77943,0.458,1.05413,0.003466,0.003466,0.003466
35,5392.83,0.7869,0.58276,1.10541,0.92,0.86231,0.90362,0.73582,0.77428,0.45522,1.05373,0.003268,0.003268,0.003268
36,5546.15,0.7853,0.5763,1.10008,0.91378,0.85702,0.91386,0.73355,0.75563,0.44742,1.04296,0.00307,0.00307,0.00307
37,5699.29,0.77422,0.56538,1.09163,0.92955,0.87098,0.92163,0.74648,0.74488,0.44693,1.03986,0.002872,0.002872,0.002872
38,5853.3,0.75767,0.55296,1.08367,0.9143,0.86326,0.90101,0.74136,0.7446,0.44165,1.037,0.002674,0.002674,0.002674
39,6006.42,0.74818,0.55269,1.08355,0.92284,0.86159,0.90919,0.74296,0.73965,0.43419,1.0402,0.002476,0.002476,0.002476
40,6159.98,0.74223,0.53614,1.07882,0.93563,0.86784,0.91909,0.74926,0.73071,0.42358,1.02511,0.002278,0.002278,0.002278
41,6331.51,0.72216,0.47723,1.05384,0.92788,0.87245,0.91398,0.75044,0.71461,0.41935,1.01821,0.00208,0.00208,0.00208
42,6484.26,0.70671,0.46308,1.04649,0.92837,0.8691,0.91378,0.75325,0.70315,0.4147,1.01169,0.001882,0.001882,0.001882
43,6637.65,0.69107,0.4561,1.03693,0.9357,0.86607,0.91484,0.75787,0.7061,0.4107,1.01176,0.001684,0.001684,0.001684
44,6790.69,0.67358,0.44118,1.02951,0.93165,0.87133,0.91499,0.75955,0.69825,0.40676,1.00165,0.001486,0.001486,0.001486
45,6943.81,0.66078,0.42902,1.02045,0.93328,0.87349,0.92105,0.76214,0.69048,0.40269,0.99822,0.001288,0.001288,0.001288
46,7096.79,0.65084,0.4248,1.01698,0.94747,0.86515,0.92279,0.76623,0.6762,0.39452,0.99177,0.00109,0.00109,0.00109
47,7249.84,0.6386,0.41216,1.00912,0.93346,0.87164,0.92417,0.76949,0.67148,0.39051,0.98801,0.000892,0.000892,0.000892
48,7402.7,0.62171,0.4005,0.99899,0.93293,0.87044,0.91716,0.77267,0.66729,0.38851,0.98385,0.000694,0.000694,0.000694
49,7556.06,0.61195,0.39364,0.99384,0.9239,0.87768,0.91761,0.77129,0.65816,0.38365,0.97904,0.000496,0.000496,0.000496
50,7708.9,0.60784,0.38991,0.99383,0.93494,0.87337,0.91714,0.76985,0.65824,0.38218,0.98116,0.000298,0.000298,0.000298
