epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.678,1.13918,1.87601,1.35178,0.74857,0.67436,0.71861,0.50878,1.19823,1.06578,1.40191,0.00027717,0.00027717,0.00027717
2,292.143,1.19079,1.23485,1.3776,0.75808,0.63839,0.71321,0.47679,1.43754,1.415,1.55554,0.000543851,0.000543851,0.000543851
3,435.239,1.20185,1.21727,1.38047,0.73174,0.73997,0.80108,0.54753,1.30354,1.1063,1.45428,0.000799536,0.000799536,0.000799536
4,577.537,1.16969,1.12988,1.36274,0.81159,0.78508,0.80691,0.57779,1.26064,1.01755,1.4473,0.00078352,0.00078352,0.00078352
5,719.45,1.1223,1.04294,1.33162,0.88376,0.78863,0.85087,0.62638,1.17531,0.91043,1.37078,0.000767026,0.000767026,0.000767026
6,861.798,1.08375,0.98899,1.30126,0.87375,0.81975,0.85795,0.62938,1.14306,0.85836,1.33707,0.000750533,0.000750533,0.000750533
7,1004,1.05301,0.94618,1.28132,0.86178,0.83215,0.86585,0.63754,1.07478,0.81973,1.28991,0.00073404,0.00073404,0.00073404
8,1146.16,1.02864,0.90368,1.2631,0.87951,0.83096,0.86726,0.65965,1.08456,0.79081,1.28552,0.000717546,0.000717546,0.000717546
9,1289.7,1.01636,0.87636,1.25586,0.88229,0.82865,0.88209,0.66402,1.05555,0.74643,1.27468,0.000701053,0.000701053,0.000701053
10,1433.16,0.98907,0.83785,1.23775,0.90772,0.84714,0.89247,0.6828,1.04558,0.71711,1.25609,0.000684559,0.000684559,0.000684559
11,1576.04,0.97438,0.81761,1.22855,0.88959,0.84547,0.89023,0.6905,1.00315,0.69461,1.22391,0.000668066,0.000668066,0.000668066
12,1718.11,0.96578,0.80119,1.22381,0.91026,0.83269,0.89286,0.68954,1.0107,0.70245,1.23994,0.000651573,0.000651573,0.000651573
13,1860.07,0.94686,0.778,1.21245,0.89357,0.86721,0.90127,0.6936,0.99532,0.67809,1.21089,0.000635079,0.000635079,0.000635079
14,2002.25,0.93321,0.76019,1.20168,0.90109,0.84991,0.89738,0.7081,0.97531,0.67663,1.20485,0.000618586,0.000618586,0.000618586
15,2145.22,0.93142,0.74854,1.20154,0.91855,0.84092,0.90388,0.70526,0.97935,0.64883,1.19886,0.000602092,0.000602092,0.000602092
16,2288.02,0.91166,0.73094,1.1886,0.91488,0.85665,0.90548,0.70709,0.95003,0.62782,1.17685,0.000585599,0.000585599,0.000585599
17,2430.77,0.90922,0.72442,1.18831,0.91502,0.86794,0.90551,0.71398,0.93984,0.61676,1.17258,0.000569106,0.000569106,0.000569106
18,2573.85,0.89756,0.70823,1.17755,0.91809,0.86474,0.91045,0.71514,0.94272,0.60719,1.1757,0.000552612,0.000552612,0.000552612
19,2716.86,0.87529,0.67754,1.16333,0.9282,0.87226,0.92023,0.72275,0.92029,0.58997,1.15152,0.000536119,0.000536119,0.000536119
20,2859.87,0.86518,0.66886,1.15943,0.93026,0.87036,0.91586,0.73056,0.8984,0.58627,1.14113,0.000519625,0.000519625,0.000519625
21,3002.65,0.85972,0.66417,1.15675,0.92589,0.8721,0.91739,0.73907,0.87193,0.55934,1.12515,0.000503132,0.000503132,0.000503132
22,3145.62,0.84268,0.6469,1.14866,0.93263,0.87011,0.91595,0.73707,0.87033,0.56091,1.11727,0.000486639,0.000486639,0.000486639
23,3288.42,0.84175,0.64952,1.13941,0.93671,0.87485,0.91865,0.74534,0.85799,0.55326,1.11726,0.000470145,0.000470145,0.000470145
24,3430.78,0.82925,0.6326,1.13924,0.91963,0.88268,0.92033,0.74368,0.84954,0.5458,1.12048,0.000453652,0.000453652,0.000453652
25,3572.85,0.81479,0.61547,1.1276,0.92339,0.88239,0.92386,0.74626,0.8464,0.53536,1.10624,0.000437158,0.000437158,0.000437158
26,3715.21,0.81381,0.61121,1.12976,0.9385,0.87423,0.91909,0.74691,0.8328,0.53232,1.10081,0.000420665,0.000420665,0.000420665
27,3857.61,0.79749,0.61136,1.12297,0.93079,0.87804,0.92112,0.75004,0.83146,0.53173,1.09987,0.000404172,0.000404172,0.000404172
28,4000.88,0.79791,0.60189,1.11751,0.9343,0.87933,0.92479,0.76373,0.81062,0.50496,1.08284,0.000387678,0.000387678,0.000387678
29,4143.83,0.7853,0.58394,1.10791,0.93505,0.87586,0.92512,0.76256,0.80535,0.50432,1.07546,0.000371185,0.000371185,0.000371185
30,4286.9,0.77588,0.57944,1.10698,0.94246,0.88535,0.9279,0.76074,0.78834,0.4958,1.0697,0.000354691,0.000354691,0.000354691
31,4428.78,0.76487,0.56443,1.09986,0.93794,0.88386,0.92699,0.76607,0.78944,0.49498,1.06323,0.000338198,0.000338198,0.000338198
32,4570.77,0.76474,0.56338,1.09811,0.94652,0.88082,0.92611,0.76186,0.7844,0.48943,1.06457,0.000321705,0.000321705,0.000321705
33,4712.61,0.75078,0.55411,1.08796,0.94738,0.88389,0.92947,0.77525,0.7667,0.478,1.05135,0.000305211,0.000305211,0.000305211
34,4854.95,0.74187,0.54955,1.0864,0.9398,0.89709,0.93206,0.77648,0.75383,0.47791,1.04882,0.000288718,0.000288718,0.000288718
35,4997.23,0.74559,0.54422,1.08758,0.94502,0.88973,0.93243,0.77635,0.7543,0.46665,1.04876,0.000272224,0.000272224,0.000272224
36,5139.35,0.73158,0.53746,1.08136,0.94914,0.89062,0.93277,0.78366,0.74264,0.45753,1.0399,0.000255731,0.000255731,0.000255731
